collection_id,accuracy,data_size,n_heel_strike,n_foot_flat,n_heel_off,n_toe_off,label,precision,recall,f1-score,support
YpmqjrY2TKwGYkMciRWN_12_R,0.9238095238095239,210,8,81,41,80,foot flat,0.9367088607594937,0.9135802469135802,0.925,81.0
YpmqjrY2TKwGYkMciRWN_12_R,0.9238095238095239,210,8,81,41,80,heel off,0.8409090909090909,0.9024390243902439,0.8705882352941177,41.0
YpmqjrY2TKwGYkMciRWN_12_R,0.9238095238095239,210,8,81,41,80,toe off,0.9523809523809523,1.0,0.975609756097561,80.0
YpmqjrY2TKwGYkMciRWN_6_R,0.86,200,8,44,62,86,heel strike,1.0,0.375,0.5454545454545454,8.0
YpmqjrY2TKwGYkMciRWN_6_R,0.86,200,8,44,62,86,foot flat,0.6111111111111112,1.0,0.7586206896551724,44.0
YpmqjrY2TKwGYkMciRWN_6_R,0.86,200,8,44,62,86,heel off,1.0,0.6290322580645161,0.7722772277227723,62.0
YpmqjrY2TKwGYkMciRWN_6_R,0.86,200,8,44,62,86,toe off,1.0,1.0,1.0,86.0
YpmqjrY2TKwGYkMciRWN_7_L,0.9441624365482234,197,1,79,39,78,heel strike,0.2,1.0,0.3333333333333333,1.0
YpmqjrY2TKwGYkMciRWN_7_L,0.9441624365482234,197,1,79,39,78,foot flat,1.0,0.9240506329113924,0.9605263157894737,79.0
YpmqjrY2TKwGYkMciRWN_7_L,0.9441624365482234,197,1,79,39,78,heel off,0.9444444444444444,0.8717948717948718,0.9066666666666666,39.0
YpmqjrY2TKwGYkMciRWN_7_L,0.9441624365482234,197,1,79,39,78,toe off,0.9397590361445783,1.0,0.968944099378882,78.0
Z1AILArBkINBepGZQbsw_13_R,0.9289340101522843,197,0,74,47,76,foot flat,1.0,0.8783783783783784,0.935251798561151,74.0
Z1AILArBkINBepGZQbsw_13_R,0.9289340101522843,197,0,74,47,76,heel off,0.875,0.8936170212765957,0.8842105263157894,47.0
Z1AILArBkINBepGZQbsw_13_R,0.9289340101522843,197,0,74,47,76,toe off,0.9382716049382716,1.0,0.9681528662420382,76.0
Z1AILArBkINBepGZQbsw_13_R,0.9289340101522843,197,0,74,47,76,micro avg,0.9432989690721649,0.9289340101522843,0.9360613810741688,197.0
Z1AILArBkINBepGZQbsw_9_R,0.9845360824742269,194,0,73,42,79,foot flat,1.0,0.9726027397260274,0.9861111111111112,73.0
Z1AILArBkINBepGZQbsw_9_R,0.9845360824742269,194,0,73,42,79,heel off,0.9545454545454546,1.0,0.9767441860465116,42.0
Z1AILArBkINBepGZQbsw_9_R,0.9845360824742269,194,0,73,42,79,toe off,1.0,0.9873417721518988,0.9936305732484076,79.0
Z1AILArBkINBepGZQbsw_9_R,0.9845360824742269,194,0,73,42,79,micro avg,0.9896373056994818,0.9845360824742269,0.9870801033591732,194.0
ZvgatKIwynOMlV7juwLL_6_R,0.9223300970873787,206,3,97,23,83,heel strike,0.0,0.0,0.0,3.0
ZvgatKIwynOMlV7juwLL_6_R,0.9223300970873787,206,3,97,23,83,foot flat,0.967741935483871,0.9278350515463918,0.9473684210526315,97.0
ZvgatKIwynOMlV7juwLL_6_R,0.9223300970873787,206,3,97,23,83,heel off,0.7083333333333334,0.7391304347826086,0.723404255319149,23.0
ZvgatKIwynOMlV7juwLL_6_R,0.9223300970873787,206,3,97,23,83,toe off,0.9325842696629213,1.0,0.9651162790697675,83.0
a7Lrg5xuhsTFRtyOYvYn_5_R,0.9292929292929293,198,6,61,46,85,heel strike,0.8571428571428571,1.0,0.9230769230769231,6.0
a7Lrg5xuhsTFRtyOYvYn_5_R,0.9292929292929293,198,6,61,46,85,foot flat,0.855072463768116,0.9672131147540983,0.9076923076923077,61.0
a7Lrg5xuhsTFRtyOYvYn_5_R,0.9292929292929293,198,6,61,46,85,heel off,0.9230769230769231,0.782608695652174,0.8470588235294118,46.0
a7Lrg5xuhsTFRtyOYvYn_5_R,0.9292929292929293,198,6,61,46,85,toe off,1.0,0.9764705882352941,0.9880952380952381,85.0
a7Lrg5xuhsTFRtyOYvYn_6_L,0.9333333333333333,195,7,59,48,81,heel strike,1.0,0.5714285714285714,0.7272727272727273,7.0
a7Lrg5xuhsTFRtyOYvYn_6_L,0.9333333333333333,195,7,59,48,81,foot flat,0.8787878787878788,0.9830508474576272,0.928,59.0
a7Lrg5xuhsTFRtyOYvYn_6_L,0.9333333333333333,195,7,59,48,81,heel off,0.975,0.8125,0.8863636363636364,48.0
a7Lrg5xuhsTFRtyOYvYn_6_L,0.9333333333333333,195,7,59,48,81,toe off,0.9529411764705882,1.0,0.9759036144578314,81.0
a7Lrg5xuhsTFRtyOYvYn_8_L,0.96,200,0,70,43,87,foot flat,1.0,0.9142857142857143,0.9552238805970149,70.0
a7Lrg5xuhsTFRtyOYvYn_8_L,0.96,200,0,70,43,87,heel off,0.9545454545454546,0.9767441860465116,0.9655172413793104,43.0
a7Lrg5xuhsTFRtyOYvYn_8_L,0.96,200,0,70,43,87,toe off,0.9885057471264368,0.9885057471264368,0.9885057471264368,87.0
a7Lrg5xuhsTFRtyOYvYn_8_L,0.96,200,0,70,43,87,micro avg,0.9846153846153847,0.96,0.9721518987341772,200.0
aLsCCWYabmB6E38wTgrd_13_R,0.9154228855721394,201,3,77,46,75,heel strike,1.0,0.6666666666666666,0.8,3.0
aLsCCWYabmB6E38wTgrd_13_R,0.9154228855721394,201,3,77,46,75,foot flat,0.8651685393258427,1.0,0.927710843373494,77.0
aLsCCWYabmB6E38wTgrd_13_R,0.9154228855721394,201,3,77,46,75,heel off,1.0,0.6521739130434783,0.7894736842105263,46.0
aLsCCWYabmB6E38wTgrd_13_R,0.9154228855721394,201,3,77,46,75,toe off,0.9375,1.0,0.967741935483871,75.0
aQtYS6F55X7WyQ6nN4kG_4_R,0.9296482412060302,199,0,90,30,79,foot flat,1.0,0.8555555555555555,0.9221556886227545,90.0
aQtYS6F55X7WyQ6nN4kG_4_R,0.9296482412060302,199,0,90,30,79,heel off,0.75,1.0,0.8571428571428571,30.0
aQtYS6F55X7WyQ6nN4kG_4_R,0.9296482412060302,199,0,90,30,79,toe off,1.0,0.9873417721518988,0.9936305732484076,79.0
aQtYS6F55X7WyQ6nN4kG_4_R,0.9296482412060302,199,0,90,30,79,micro avg,0.9487179487179487,0.9296482412060302,0.9390862944162437,199.0
aSpanlLyvDdtsqCKP0RY_8_R,0.9090909090909091,88,0,37,15,36,foot flat,1.0,0.8918918918918919,0.9428571428571428,37.0
aSpanlLyvDdtsqCKP0RY_8_R,0.9090909090909091,88,0,37,15,36,heel off,0.7333333333333333,0.7333333333333333,0.7333333333333333,15.0
aSpanlLyvDdtsqCKP0RY_8_R,0.9090909090909091,88,0,37,15,36,toe off,0.9,1.0,0.9473684210526315,36.0
as6AwUPIi5b2WEnIn4OO_10_R,0.9772727272727273,88,0,32,18,38,foot flat,0.9696969696969697,1.0,0.9846153846153847,32.0
as6AwUPIi5b2WEnIn4OO_10_R,0.9772727272727273,88,0,32,18,38,heel off,1.0,0.8888888888888888,0.9411764705882353,18.0
as6AwUPIi5b2WEnIn4OO_10_R,0.9772727272727273,88,0,32,18,38,toe off,0.9743589743589743,1.0,0.987012987012987,38.0
bDbZg8cpaN1YTk1owjgb_10_L,0.9842105263157894,190,0,77,37,76,foot flat,0.9746835443037974,1.0,0.9871794871794872,77.0
bDbZg8cpaN1YTk1owjgb_10_L,0.9842105263157894,190,0,77,37,76,heel off,1.0,0.918918918918919,0.9577464788732394,37.0
bDbZg8cpaN1YTk1owjgb_10_L,0.9842105263157894,190,0,77,37,76,toe off,0.987012987012987,1.0,0.9934640522875817,76.0
bK6UIKg2ySsmZZL7dRNf_10_L,0.9719626168224299,214,0,99,28,87,foot flat,1.0,0.9494949494949495,0.9740932642487047,99.0
bK6UIKg2ySsmZZL7dRNf_10_L,0.9719626168224299,214,0,99,28,87,heel off,0.84375,0.9642857142857143,0.9,28.0
bK6UIKg2ySsmZZL7dRNf_10_L,0.9719626168224299,214,0,99,28,87,toe off,0.9886363636363636,1.0,0.9942857142857143,87.0
bK6UIKg2ySsmZZL7dRNf_11_R,0.9530516431924883,213,0,107,22,84,foot flat,1.0,0.9345794392523364,0.966183574879227,107.0
